Tanggal,Pintu Masuk,Jumlah Kunjungan
2011-06-01,Minangkabau,2707.0
2011-06-01,Sultan Syarif Kasim II,1982.0
2011-06-01,Sultan Iskandar Muda,
2011-06-01,Ahmad Yani,
2011-06-01,Supadio,
2011-06-01,Hasanuddin,1289.0
2011-06-01,Bandara Int. Lombok,1683.0
2011-06-01,Sam Ratulangi,1513.0
2011-06-01,Total,674041.0
2011-06-01,Adi Sucipto,3700.0
2011-06-01,Jayapura,
2011-06-01,Pintu Laut Lainnya,5270.0
2011-06-01,Tanjung Uban,32372.0
2011-06-01,Tanjung Pinang,11067.0
2011-06-01,Tanjung Balai Karimun,9325.0
2011-06-01,Tanjung Benoa,
2011-06-01,Tanjung Mas,
2011-06-01,C. Pintu Darat,2118.0
2011-06-01,Batam,111619.0
2011-06-01,B. Pintu Laut,169653.0
2011-06-01,Entikong,2118.0
2011-06-01,Aruk,
2011-06-01,Nanga Badau,
2011-06-01,Pintu Darat Lainnya,
2011-06-01,Jumlah (A+B+C),640584.0
2011-06-01,Lainnya,33457.0
2011-06-01,Atambua,
2011-07-01,Juanda,16788.0
2011-07-01,Ngurah Rai,279219.0
2011-07-01,Soekarno-Hatta,200180.0
2011-07-01,Kualanamu,17646.0
2011-07-01,Husein Sastranegara,11806.0
2011-07-01,Adi Sucipto,4519.0
2011-07-01,Pintu Udara Lainnya,2729.0
2011-07-01,Sam Ratulangi,2011.0
2011-07-01,Ahmad Yani,
2011-07-01,Sultan Syarif Kasim II,2079.0
2011-07-01,Sultan Iskandar Muda,
2011-07-01,A. Pintu Udara,543170.0
2011-07-01,Supadio,
2011-07-01,Hasanuddin,1277.0
2011-07-01,Bandara Int. Lombok,2182.0
2011-07-01,Minangkabau,2734.0
2011-07-01,Sultan Badaruddin II,
2011-07-01,Total,745054.0
2011-07-01,B. Pintu Laut,164244.0
2011-07-01,Tanjung Uban,31694.0
2011-07-01,Tanjung Pinang,8987.0
2011-07-01,Tanjung Balai Karimun,9907.0
2011-07-01,Tanjung Benoa,
2011-07-01,Tanjung Mas,
2011-07-01,Pintu Laut Lainnya,5273.0
2011-07-01,Aruk,
2011-07-01,Atambua,
2011-07-01,C. Pintu Darat,1559.0
2011-07-01,Nanga Badau,
2011-07-01,Pintu Darat Lainnya,
2011-07-01,Jumlah (A+B+C),708973.0
2011-07-01,Lainnya,36081.0
2011-07-01,Batam,108383.0
2011-07-01,Jayapura,
2011-07-01,Entikong,1559.0
2011-08-01,Kualanamu,13225.0
2011-08-01,A. Pintu Udara,446871.0
2011-08-01,Ngurah Rai,252698.0
2011-08-01,Juanda,16553.0
2011-08-01,Husein Sastranegara,6507.0
2011-08-01,Adi Sucipto,3826.0
2011-08-01,Sam Ratulangi,2199.0
2011-08-01,Soekarno-Hatta,142974.0
2011-08-01,Sultan Syarif Kasim II,1731.0
2011-08-01,Sultan Iskandar Muda,
2011-08-01,Ahmad Yani,
2011-08-01,Supadio,
2011-08-01,Hasanuddin,1295.0
2011-08-01,Bandara Int. Lombok,1506.0
2011-08-01,Pintu Udara Lainnya,2729.0
2011-08-01,Minangkabau,1628.0
2011-08-01,Sultan Badaruddin II,
2011-08-01,Tanjung Mas,
2011-08-01,Total,620752.0
2011-08-01,Tanjung Uban,32806.0
2011-08-01,B. Pintu Laut,136033.0
2011-08-01,Tanjung Balai Karimun,5587.0
2011-08-01,Tanjung Benoa,
2011-08-01,Pintu Laut Lainnya,4864.0
2011-08-01,C. Pintu Darat,2643.0
2011-08-01,Aruk,
2011-08-01,Atambua,
